"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704225.7906,-4261248.372,3887579.4415,-2704215.9131,-4261030.9306,3887476.9696,-2704236.2004,0.060458,-4261267.5696,0.26708,3887577.1561,-0.052596,
-2704222.8602,-4261228.8241,3887568.8669,-2704169.9994,-4261106.5281,3887479.2972,-2704228.7807,0.08699,-4261246.9367,0.26796,3887562.0875,-0.099597,
-2704226.616,-4261214.532,3887565.97,-2704196.5541,-4261082.6174,3887474.6756,-2704225.1641,0.081907,-4261225.8839,0.28836,3887548.6239,-0.11154,
-2704234.2744,-4261203.7449,3887558.7505,-2704260.446,-4261117.5394,3887538.1367,-2704229.1087,0.05276,-4261211.9928,0.30337,3887547.0027,-0.027588,
-2704234.6408,-4261184.5015,3887550.3624,-2704300.8025,-4261131.8137,3887494.0206,-2704237.1336,0.022986,-4261201.7054,0.29569,3887538.8468,0.031302,
-2704233.0631,-4261173.6878,3887546.3201,-2704238.8004,-4261034.1177,3887474.5208,-2704237.3184,0.015751,-4261180.2325,0.26971,3887528.9491,0.064046,
-2704236.3053,-4261161.5503,3887540.294,-2704218.3279,-4261100.4886,3887509.471,-2704235.1903,0.015407,-4261170.0041,0.23751,3887525.9556,0.03663,
-2704240.2243,-4261152.2594,3887533.5042,-2704265.0193,-4261075.4305,3887484.3733,-2704238.5294,0.018901,-4261157.8802,0.2308,3887519.5571,-0.0006235,
-2704246.6869,-4261143.0431,3887530.4102,-2704275.4326,-4261091.8386,3887471.3512,-2704242.6608,0.0073394,-4261149.4081,0.23909,3887512.1375,0.017067,
-2704280.1994,-4261154.4052,3887534.1672,-2704300.1773,-4261081.5137,3887502.9658,-2704249.1021,-0.016948,-4261140.6983,0.23881,3887510.7297,0.10518,
-2704274.6557,-4261138.1795,3887526.7268,-2704581.9507,-4261278.9079,3887566.6896,-2704286.3801,-0.033979,-4261158.3656,0.21412,3887519.3537,0.15656,
-2704265.5122,-4261121.2828,3887515.9782,-2704227.6316,-4261016.5192,3887458.357,-2704279.803,0.000758,-4261140.1936,0.2208,3887509.9754,0.063464,
-2704257.8175,-4261109.2456,3887510.1515,-2704182.2104,-4260944.9497,3887420.7137,-2704268.8727,0.028503,-4261115.1872,0.23798,3887496.2383,-0.039533,
-2704251.2812,-4261098.7205,3887503.2365,-2704191.2644,-4260975.6537,3887458.6259,-2704260.1785,0.038983,-4261097.3089,0.25733,3887490.4455,-0.042309,
-2704238.0459,-4261083.1661,3887497.059,-2704192.6703,-4260977.869,3887446.6146,-2704252.6152,0.017828,-4261082.0006,0.26736,3887483.6965,-0.00078027,
-2704226.0269,-4261068.7088,3887491.3766,-2704121.379,-4260914.8484,3887445.9558,-2704237.9171,-0.018846,-4261060.5856,0.26085,3887477.8881,0.030643,
-2704212.9994,-4261050.3618,3887476.6457,-2704120.6611,-4260913.7171,3887444.9167,-2704224.7881,-0.062014,-4261041.7671,0.2529,3887472.8141,-0.023784,
-2704203.7209,-4261037.5067,3887469.6929,-2704098.6785,-4260862.6414,3887346.1557,-2704210.6699,-0.040731,-4261018.821,0.24639,3887453.3143,-0.094725,
-2704208.4326,-4261037.7723,3887470.622,-2704122.0803,-4260899.5157,3887408.1159,-2704200.7513,-0.0036611,-4261003.5312,0.24061,3887446.3499,-0.067876,
-2704207.6826,-4261033.327,3887468.0914,-2704249.7166,-4261018.4423,3887482.8395,-2704206.2357,-0.019712,-4261005.419,0.21121,3887451.9644,0.058412,
-2704196.2444,-4261020.5234,3887462.8275,-2704200.5886,-4260973.908,3887447.3114,-2704205.6055,-0.042025,-4261001.3681,0.19548,3887451.2554,0.13731,
-2704190.2986,-4261014.2446,3887461.2985,-2704093.4246,-4260887.2378,3887416.2606,-2704193.0458,-0.037686,-4260986.7449,0.1968,3887445.8801,0.12425,
-2704182.9713,-4261005.4275,3887456.1076,-2704136.647,-4260938.9064,3887454.007,-2704186.7322,-0.0035354,-4260980.6051,0.21892,3887447.14,0.069661,
-2704178.9533,-4260999.8236,3887454.2909,-2704116.964,-4260907.8916,3887411.4741,-2704178.9186,0.016773,-4260971.2795,0.26309,3887441.6539,-0.0058693,
-2704182.3322,-4261001.7216,3887456.9611,-2704143.2656,-4260932.8976,3887438.7769,-2704174.9241,0.021322,-4260966.344,0.2953,3887441.2102,-0.017178,
-2704189.5834,-4261005.4446,3887461.4169,-2704213.5849,-4261010.824,3887476.8832,-2704179.2518,0.025484,-4260972.0107,0.29603,3887446.6995,-0.02475,
-2704184.577,-4260998.1958,3887462.6366,-2704256.49,-4261045.553,3887503.4052,-2704187.8997,0.023324,-4260981.3971,0.269,3887455.4248,-0.057759,
-2704183.5757,-4260992.0553,3887459.9462,-2704140.5057,-4260944.9865,3887473.6376,-2704182.5899,0.022899,-4260976.7142,0.24947,3887458.2221,-0.098161,
-2704184.211,-4260994.0195,3887470.1224,-2704175.4207,-4260950.6889,3887435.696,-2704181.7854,0.0048272,-4260973.3619,0.24296,3887454.7465,-0.10062,
-2704182.431,-4261000.271,3887486.173,-2704193.9794,-4261029.2456,3887565.0759,-2704183.1501,0.026492,-4260980.4925,0.24895,3887471.7229,-0.010225,
-2704186.7878,-4261006.4054,3887498.7068,-2704170.629,-4261074.6431,3887627.2378,-2704181.7443,0.0777,-4260992.5199,0.25417,3887495.661,0.04371,
