"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699407.8143,-4293259.6377,3855080.1223,-2699402.7947,-4293256.2184,3855080.1079,-2699413.082,0.0796,-4293262.2028,0.074223,3855077.8955,0.99634,-2699457.0059,-4293265.2692,3855072.1366,
-2699406.7816,-4293259.169,3855080.4844,-2699404.5857,-4293259.067,3855082.683,-2699412.124,0.06284,-4293261.7948,0.088364,3855078.718,1.0408,-2699456.5096,-4293264.8701,3855072.0032,
-2699407.3188,-4293256.6428,3855083.3844,-2699403.6753,-4293257.6191,3855081.374,-2699411.1729,0.036878,-4293261.2525,0.099242,3855079.2141,1.0145,-2699456.2592,-4293264.4262,3855071.9932,
-2699405.5928,-4293255.4929,3855085.2857,-2699408.9829,-4293249.4318,3855092.2075,-2699410.9244,0.038241,-4293259.7311,0.098935,3855081.2982,0.95334,-2699455.9275,-4293263.9955,3855072.1719,
-2699403.0406,-4293256.8573,3855087.6633,-2699400.5791,-4293252.6947,3855090.8981,-2699409.762,0.058516,-4293258.8221,0.090361,3855082.8558,0.93092,-2699455.3843,-4293263.608,3855072.3685,
-2699403.617,-4293257.6051,3855086.8086,-2699395.7913,-4293261.7087,3855094.7877,-2699408.192,0.07125,-4293259.1839,0.077302,3855084.7727,0.98459,-2699454.752,-4293263.2786,3855072.3706,
-2699404.5958,-4293259.2844,3855090.6587,-2699405.6274,-4293260.7237,3855084.1806,-2699407.899,0.048132,-4293259.3745,0.060923,3855084.767,1.0597,-2699454.392,-4293263.0243,3855072.1595,
-2699404.4459,-4293259.3996,3855092.3973,-2699408.462,-4293265.2321,3855102.2318,-2699407.9588,0.0054358,-4293260.1191,0.041495,3855087.5455,1.0798,-2699454.4437,-4293262.8566,3855071.964,
-2699402.7632,-4293256.9606,3855091.4521,-2699405.2667,-4293260.1501,3855097.6378,-2699407.6575,-0.025462,-4293260.1197,0.028832,3855089.1886,1.0201,-2699454.7383,-4293262.7407,3855071.9763,
-2699403.6782,-4293258.5845,3855093.8619,-2699398.9569,-4293250.1146,3855088.5657,-2699406.6855,-0.029322,-4293258.8368,0.023778,3855089.177,0.94722,-2699455.0093,-4293262.6436,3855072.1673,
-2699403.421,-4293257.838,3855093.9456,-2699407.7128,-4293264.0405,3855101.1547,-2699406.8031,-0.026924,-4293259.5007,0.023966,3855091.1007,0.94448,-2699455.2355,-4293262.5366,3855072.316,
-2699403.6687,-4293258.1454,3855094.7738,-2699402.8005,-4293256.2277,3855094.0919,-2699406.3574,-0.034903,-4293259.0796,0.03188,3855091.6424,0.99351,-2699454.92,-4293262.612,3855072.3644,
-2699402.942,-4293256.8102,3855097.4876,-2699404.9149,-4293259.5905,3855097.1319,-2699406.1993,-0.047679,-4293259.142,0.042487,3855092.5725,1.0311,-2699454.4886,-4293262.7134,3855072.5726,
-2699402.9731,-4293256.5558,3855096.8263,-2699401.0979,-4293253.5199,3855105.6198,-2699405.632,-0.041489,-4293258.4187,0.048713,3855094.6676,1.017,-2699454.1487,-4293262.826,3855072.6067,
-2699400.7388,-4293252.7957,3855096.5562,-2699403.2874,-4293257.0021,3855094.792,-2699405.3724,-0.011036,-4293258.2332,0.046518,3855094.7715,0.97069,-2699454.1225,-4293262.9306,3855072.3821,
-2699399.9249,-4293251.4095,3855097.5776,-2699394.1886,-4293242.5309,3855095.6858,-2699404.1203,0.01646,-4293256.2198,0.036919,3855094.9939,0.95584,-2699454.3127,-4293263.0079,3855072.1382,
-2699396.232,-4293249.4952,3855096.6217,-2699397.7128,-4293248.136,3855100.7528,-2699403.4012,0.019375,-4293255.1822,0.022495,3855095.9622,0.98838,-2699454.4764,-4293263.0515,3855072.1274,
-2699396.312,-4293248.4166,3855097.1866,-2699385.2353,-4293244.9199,3855093.5864,-2699401.3657,-0.0098749,-4293253.8671,0.0097872,3855095.6812,1.0253,-2699454.3101,-4293263.0665,3855072.3202,
-2699395.1979,-4293250.104,3855098.7603,-2699396.5647,-4293246.31,3855099.1021,-2699400.8296,-0.037201,-4293252.8992,0.0026214,3855096.2944,1.0229,-2699453.9307,-4293263.0682,3855072.4221,
-2699395.6486,-4293249.4622,3855102.755,-2699392.2196,-4293256.0281,3855103.6282,-2699399.8687,-0.04083,-4293253.2994,0.0052502,3855097.5086,0.98173,-2699453.5709,-4293263.0818,3855072.247,
-2699394.5874,-4293246.6602,3855103.6742,-2699397.6277,-4293248.0006,3855114.6061,-2699399.6206,-0.010469,-4293252.6206,0.021001,3855100.2225,0.94938,-2699453.5494,-4293263.1356,3855071.9103,
-2699392.9553,-4293243.6413,3855103.4213,-2699391.822,-4293238.767,3855106.2589,-2699398.7478,0.0053393,-4293250.8454,0.041166,3855101.2326,0.97069,-2699453.514,-4293263.503,3855071.8204,
-2699392.1346,-4293241.6529,3855103.627,-2699389.3452,-4293234.8278,3855102.6979,-2699397.6949,-0.020574,-4293248.7916,0.060784,3855101.5417,1.0225,-2699453.63,-4293264.0318,3855071.9721,
-2699392.3071,-4293241.2998,3855104.7477,-2699390.4141,-4293236.5278,3855104.2347,-2699396.8825,-0.071334,-4293247.2165,0.079583,3855102.0433,1.0429,-2699453.9779,-4293264.7182,3855072.1567,
-2699392.5685,-4293241.2057,3855105.6881,-2699393.1534,-4293240.8845,3855108.1731,-2699396.4716,-0.086637,-4293246.399,0.091422,3855103.0737,0.99411,-2699454.3476,-4293265.4956,3855072.0607,
-2699393.248,-4293241.7726,3855106.919,-2699393.2746,-4293241.0773,3855108.3474,-2699396.1203,-0.047523,-4293245.71,0.090487,3855103.9678,0.93346,-2699454.4992,-4293266.2453,3855071.7227,
-2699393.6988,-4293241.7631,3855107.5735,-2699394.8525,-4293243.5869,3855110.6161,-2699395.9816,-0.0050995,-4293245.4305,0.083863,3855105.0704,0.94298,-2699454.4742,-4293266.9326,3855071.5123,
-2699392.8136,-4293239.6494,3855109.7867,-2699394.1053,-4293242.3985,3855109.5418,-2699395.7717,0.0032164,-4293245.0353,0.076882,3855105.8406,1.0194,-2699454.4529,-4293267.5605,3855071.6808,
-2699390.4137,-4293239.4786,3855111.3841,-2699389.0107,-4293234.2958,3855116.1927,-2699395.015,-0.026572,-4293243.6543,0.068859,3855107.5222,1.0858,-2699454.5962,-4293268.1154,3855072.0763,
-2699389.6206,-4293237.1718,3855111.6962,-2699381.5856,-4293239.1152,3855116.2904,-2699393.5138,-0.045651,-4293243.0675,0.062665,3855108.9629,1.0554,-2699454.8082,-4293268.6252,3855072.2311,
-2699389.6037,-4293236.2937,3855112.6827,-2699386.4536,-4293230.2289,3855112.5162,-2699392.7272,-0.045726,-4293241.4189,0.068026,3855109.5966,0.9676,-2699454.9969,-4293269.1934,3855071.9874,
-2699390.2307,-4293236.5741,3855114.3371,-2699388.7367,-4293233.8599,3855115.7987,-2699392.2839,-0.027135,-4293240.4453,0.080903,3855110.6313,0.90376,-2699454.9132,-4293269.6817,3855072.8584,
-2699390.9049,-4293237.0829,3855112.4985,-2699391.2643,-4293237.8799,3855119.4328,-2699392.172,-0.0203,-4293240.1097,0.095852,3855112.0633,0.93315,-2699454.8444,-4293270.2625,3855073.2871,
-2699389.6885,-4293234.8325,3855112.408,-2699392.3868,-4293239.6653,3855107.0711,-2699392.1983,-0.039726,-4293240.0443,0.11026,3855111.3759,1.0051,-2699454.6779,-4293270.9285,3855073.052,
-2699387.8414,-4293231.6927,3855110.8955,-2699385.9768,-4293229.4705,3855111.8306,-2699391.5058,-0.072972,-4293238.6812,0.1223,3855111.5325,1.0593,-2699454.3718,-4293271.6586,3855072.4885,
-2699389.7399,-4293230.4606,3855111.7924,-2699382.1685,-4293223.4137,3855106.3552,-2699390.4669,-0.087385,-4293236.7166,0.12575,3855110.8244,1.0299,-2699454.0298,-4293272.3973,3855072.3347,
-2699389.7515,-4293231.3333,3855112.9948,-2699395.173,-4293227.4678,3855114.2793,-2699391.0011,-0.061914,-4293235.5222,0.1149,3855111.4416,0.97104,-2699453.8276,-4293273.0583,3855072.7023,
-2699390.8173,-4293233.8925,3855115.7341,-2699389.3208,-4293234.789,3855116.6386,-2699390.8174,-0.014384,-4293235.4186,0.0967,3855112.3231,0.95009,-2699453.821,-4293273.6073,3855073.1283,
-2699391.4155,-4293235.2435,3855117.1105,-2699394.4157,-4293242.8922,3855123.9639,-2699391.2212,0.0026792,-4293236.367,0.077091,3855114.1967,0.99854,-2699453.8494,-4293274.0426,3855073.0467,
