"time","dt","x","y","z","lat","long","alt",
,,-2700962.5226,-4256577.9577,3882829.3748,37.7904,-122.3967,155.5484,
,,-2700904.9075,-4256502.5312,3882794.7381,37.7907,-122.3966,59.6005,
,,-2700925.6899,-4256612.8386,3882808.4653,37.7902,-122.3961,150.4155,
,,-2700962.4005,-4256592.3348,3882807.533,37.7902,-122.3966,151.7059,
,,-2700971.6243,-4256616.7706,3882820.007,37.7901,-122.3965,179.5603,
,,-2700988.9568,-4256659.6554,3882849.0089,37.7901,-122.3965,233.2858,
,,-2700951.0919,-4256577.4226,3882826.4769,37.7904,-122.3966,148.5758,
,,-2700921.1253,-4256553.8028,3882789.8212,37.7903,-122.3964,97.6656,
,,-2700907.1974,-4256526.518,3882775.9317,37.7904,-122.3965,65.0513,
,,-2700887.1422,-4256545.2288,3882796.981,37.7905,-122.3962,81.9435,
,,-2700896.5678,-4256520.3206,3882814.5756,37.7907,-122.3964,80.0955,
,,-2700918.885,-4256578.9512,3882790.7652,37.7902,-122.3963,114.0762,
,,-2700942.9102,-4256620.5079,3882792.7183,37.79,-122.3963,153.1747,
,,-2700912.3837,-4256601.9816,3882776.775,37.79,-122.3961,118.1182,
,,-2700916.7079,-4256576.7691,3882755.381,37.79,-122.3963,90.016,
,,-2700906.7072,-4256522.8835,3882748.0248,37.7902,-122.3965,45.318,
,,-2700922.4971,-4256603.6173,3882772.076,37.79,-122.3962,120.6123,
,,-2700915.7792,-4256622.8822,3882781.5457,37.79,-122.396,136.4255,
,,-2700952.379,-4256609.7165,3882780.7418,37.7899,-122.3964,142.6442,
,,-2700949.4384,-4256575.8432,3882777.1164,37.7901,-122.3966,116.5751,
,,-2700928.6704,-4256599.2858,3882779.1358,37.79,-122.3962,124.6618,
,,-2700978.3525,-4256674.4856,3882786.8724,37.7896,-122.3963,200.6165,
,,-2700946.7207,-4256642.0755,3882802.2322,37.7899,-122.3962,175.0092,
,,-2700974.4676,-4256569.0019,3882774.7934,37.79,-122.3969,121.1842,

