aX,aY,aZ,temperature,gX,gY,gZ
-96,3772,17988,17.85,2386,-233,1072
248,3676,20028,17.8,-2252,-1259,905
1512,3404,18212,17.89,-2181,-347,1996
764,3472,16304,17.89,608,1169,-439
-80,3880,14484,17.8,1397,-353,-1309
-872,3416,19552,17.8,535,-1236,-1506
-48,4312,23156,17.85,-1074,-3793,-2862
-2652,3460,16556,17.85,-1507,835,-481
-1608,2788,16460,17.89,-1849,1579,-548
1064,3988,15992,17.8,795,500,3272
-1000,4484,18324,17.8,1492,1773,-179
2848,5468,15844,17.85,-416,1571,676
-920,3376,16824,17.75,-2072,2031,2082
760,2752,14720,17.8,-2382,1390,577
2964,3700,12292,17.8,982,-1099,1409
1660,3904,14888,17.8,1157,-479,-335
3364,4372,17476,17.94,-1597,-832,-2067
272,3260,17772,17.85,-1489,2122,43
-192,2272,16684,17.85,-715,1319,-1123
316,3596,11808,17.85,1129,192,1331
844,4144,18608,17.8,2615,760,-831
216,4676,15852,17.89,1956,3061,1944
-604,3124,17340,17.71,-16,1196,1065
3908,2696,19704,17.8,-3556,-3117,2368
-2472,2268,15208,17.8,549,-1491,940
-392,3384,16760,17.89,491,-767,-1399
2352,4724,18296,17.8,-735,817,-3208
1996,4036,18568,17.89,-1624,499,104
1012,2320,17084,17.8,-1189,-176,-730
-876,3096,16168,17.66,1005,-454,-302
-776,4596,17396,17.85,2858,-696,-775
-36,4100,16172,17.8,2235,2885,-283
-2276,2748,17708,17.8,-1549,-353,341
380,2320,17328,17.8,-617,-1452,1062
-624,2700,12728,17.85,1500,-1442,790
-1280,3284,13444,17.85,1293,-18,-1441
3684,5176,19300,17.8,1640,-3882,-30
-3488,2056,20080,17.8,-572,-1851,-750
-1548,1496,19096,17.85,-1963,-2094,509
-2540,2516,14496,17.75,-50,1081,-1518
948,4824,17992,17.8,1691,1840,-433
252,4340,16832,17.8,2661,3478,1357
-4012,1400,24752,17.75,-1673,-4152,2259
-732,1516,18972,17.89,-2028,2252,-1295
1920,2912,14896,17.8,-1343,-466,-186
728,4124,14928,17.8,570,13,-143
828,3404,20604,17.8,1264,-1624,-220
-496,3532,20984,17.75,-1508,-437,-2233
1412,1652,17300,17.75,-1529,-120,-224
-1764,2732,11376,17.71,-273,2484,-2047
2008,4116,18620,17.8,1511,-453,-574
-1628,3200,21092,17.71,4180,-645,265
-3104,2128,23648,17.75,306,-1927,-766
676,3036,15288,17.85,-4192,15,1579
-412,2264,14836,17.71,-198,-2546,2301
384,3308,15704,17.71,121,2265,-1613
-528,3968,19120,17.8,994,-731,-1261
912,2380,23036,17.8,-2528,-2303,-645
1324,1948,17456,17.71,-284,1939,-1360
-1688,2020,15640,17.8,1075,944,-1120
1260,3664,17812,17.8,-53,1495,-755
424,3188,19320,17.75,-479,716,1655
-2728,1840,22848,17.75,-1883,-845,1107
948,1148,18464,17.8,-4056,-671,675
1580,3092,15080,17.71,290,-1443,338
-1204,2900,15228,17.8,945,-1029,-536
-1064,2992,20900,17.71,355,-1365,-644
-1712,1852,22888,17.8,-2346,-841,-2541
-1124,1968,16548,17.75,-953,327,-817
-312,3000,13176,17.66,1328,2622,-277
1984,3732,16372,17.8,2455,670,715
-1048,2736,19380,17.8,1706,208,1030
-2180,1972,24052,17.8,-1414,-1116,1239
-228,2092,16696,17.75,-1802,-2068,1048
-1364,2324,13440,17.75,-85,-489,1069
-392,3120,14728,17.75,1030,713,-1309
-268,3880,21444,17.71,-7,-558,-1136
1128,2256,23436,17.8,-834,-680,-1092
-232,940,15776,17.71,300,-1212,-1043
-1092,3460,14136,17.71,1357,1398,-254
-436,4124,14276,17.75,959,572,-478
512,3972,19656,17.71,1301,910,110
-2420,1720,25592,17.75,-1331,-31,-474
764,2772,18140,17.66,-819,-1197,-1611
-5224,1380,19708,17.66,-791,300,-710
-1568,3408,15344,17.71,1228,450,-625
-220,3720,17964,17.66,62,-950,-1075
-308,2288,23340,17.75,-1710,284,-3226
72,3040,17636,17.66,-439,127,-1013
-1080,3080,13364,17.66,-526,1938,-877
724,4216,12884,17.71,196,-381,947
-356,4024,19992,17.75,1202,759,664
1144,4804,20060,17.75,-999,1408,-339
-1132,2732,17808,17.75,-685,865,1553
-1420,2436,14904,17.66,-1202,1076,-223
880,3652,14360,17.75,915,-153,440
820,3996,15536,17.71,1201,-144,-691
1544,4260,20468,17.8,-1993,554,-2389
-756,3208,20100,17.71,-1022,982,-509
232,2720,15724,17.71,-429,16,-1359
-996,3260,13392,17.71,1670,-1047,872
844,5084,17144,17.71,2531,-3122,667
-4560,3340,17736,17.71,634,2134,1347
-3776,2384,20436,17.66,-2322,1422,-914
-632,2604,19652,17.66,200,-632,-1590
-4520,1884,15764,17.66,2160,-2489,2598
-892,3664,15896,17.71,2198,-1026,556
-4192,3736,22028,17.71,-609,-2118,1296
-2712,2964,22844,17.8,-2218,977,-1042
-112,1832,15716,17.71,-1426,-131,727
116,2960,13824,17.75,-461,624,436
688,4060,15044,17.71,-466,461,260
416,3676,19560,17.66,1891,684,-24
-948,2860,23016,17.66,-1320,2075,-416
-2628,2044,15968,17.66,-2020,974,828
-688,2428,14472,17.71,-1742,-48,909
2012,2816,13004,17.61,-12,-331,1425
172,2696,17816,17.8,-745,916,-1147
-1424,2140,21132,17.71,-1388,3059,-3566
-48,1780,18052,17.66,-171,540,-441
1324,2084,15328,17.71,-774,1196,-1255
140,2752,14528,17.57,805,150,652
392,3920,16472,17.66,2327,1044,216
712,3260,15376,17.75,-342,146,-14
-584,2848,16964,17.66,-521,1467,2735
-2628,1256,14904,17.66,-960,-984,418
-964,2272,15360,17.66,1281,-1096,1838
-1124,2540,16332,17.75,3027,-5006,-154
380,3040,19500,17.75,-757,1273,-2666
288,2540,18364,17.66,-1358,2819,-2406
1016,2244,16116,17.61,299,-815,-922
-2588,2120,15840,17.71,1873,-1508,1451
-2280,3124,19280,17.71,1382,-1444,44
-572,3188,19856,17.61,1155,977,29
340,2108,19680,17.61,-749,-53,1210
-1252,1864,17520,17.71,-1324,-175,-564
-3128,1776,15652,17.71,2004,-1259,1009
-1280,2752,16256,17.61,3157,-1454,-647
3380,4536,19620,17.66,2417,-416,-1195
-4692,2700,19020,17.75,-1360,1314,-53
-600,1664,19780,17.52,-673,-2264,-428
-3736,2200,15524,17.61,913,-497,-559
308,3948,17160,17.61,-288,219,-735
-1080,2684,20412,17.71,2976,110,33
-2236,2304,20884,17.61,699,-1908,2316
-780,512,21612,17.57,-2738,-2657,1103
-692,2360,17060,17.66,-377,2186,-1530
1008,3756,15192,17.71,2538,672,-1724
-200,3292,17316,17.71,2008,-559,-2880
-20,2800,21996,17.61,-2918,381,-1588
596,2516,14992,17.71,-1900,2368,-47
992,3084,15516,17.71,-994,1362,-859
1540,3520,13360,17.66,170,965,1065
56,3608,17404,17.66,615,637,1256
600,3568,20332,17.47,-1323,-134,39
-104,2624,16592,17.57,-1966,1880,2582
-2232,1488,16236,17.61,-1507,1447,316
2048,3404,12508,17.61,1656,-798,2020
-348,3356,14928,17.61,1938,-220,-282
2052,3540,17784,17.57,-1000,-533,-3045
-2396,1512,17348,17.57,-1817,1804,-447
1248,1244,17436,17.71,-2368,-655,32
-2396,2104,14520,17.61,413,-1738,1548
312,3432,17808,17.66,2651,-298,1052
-556,2532,18560,17.47,3804,975,650
-6364,532,21528,17.57,-1967,-1160,1945
-1896,104,23348,17.52,-1700,-2515,884
-3688,1704,13896,17.61,-61,1634,1976
48,2512,16856,17.52,1472,-978,-251
-604,2916,20516,17.52,849,-1163,-912
708,2736,19140,17.52,-1034,147,-4060
748,1804,17932,17.52,-114,23,-1687
-1680,2044,15184,17.66,-337,312,-479
104,3248,15844,17.66,-599,-681,-576
-1832,2080,22792,17.66,1987,1598,-1376
-2348,1576,21016,17.61,-818,-2281,2083
-620,1552,18084,17.52,132,-2156,738
-2572,1880,16828,17.52,-44,308,589
-344,2756,16864,17.52,-71,224,-420
-1836,2232,21324,17.61,432,-2270,-886
1916,2784,24576,17.47,-2028,1302,-2990
-1112,1772,15604,17.57,-362,995,-1111
-1700,2396,15080,17.66,585,475,-1946
1020,3660,15912,17.61,1565,86,-475
-1596,3052,18088,17.52,1558,-1527,645
-40,1892,22848,17.52,-2157,-2535,2378
-436,2132,16876,17.66,-2250,996,1204
-2016,2548,16588,17.57,882,3242,549
-1664,2708,14568,17.57,941,1052,-1402
-1964,2952,19588,17.61,-171,-1764,-39
-1000,2120,23752,17.52,-2089,917,-1878
28,3052,15244,17.47,545,69,-855
-948,2716,13864,17.61,-407,1875,-1732
1156,3956,14884,17.52,112,-328,-605
-2968,3592,17956,17.57,2471,641,270
144,3964,19420,17.52,-1818,1428,-233
-4772,1200,16048,17.61,-3269,2929,581
1988,3720,13780,17.52,-570,2468,-1843
-464,3232,12448,17.61,1759,887,906
-4288,1656,19952,17.57,-104,1994,1153
-4264,1136,21356,17.61,-963,822,-5887
3816,3552,15208,17.52,-772,-2652,-2004
2820,3908,15132,17.57,-477,2298,-2641
1936,3276,14028,17.57,1047,-110,2362
608,3656,17928,17.61,2049,-754,2532
-3196,2304,24496,17.52,-2499,499,108
-1880,1972,17816,17.38,-1665,198,2284
-1760,2052,15164,17.57,-1293,1249,746
312,2604,14200,17.61,1371,-1075,939
-1888,2568,16012,17.52,-1150,-827,-778
952,2236,22620,17.61,-3974,764,-1824
-668,908,20900,17.61,613,855,-1393
1692,2032,17112,17.47,595,-685,-1988
-2860,3116,12560,17.47,1329,228,-91
-1248,4052,18464,17.52,2452,-1210,1725
-1600,3604,18672,17.61,2000,787,1790
-2880,1372,20668,17.57,-209,-606,2390
-168,1524,15188,17.47,-964,-48,1351
232,2320,15080,17.47,1493,-1206,2439
816,3092,16432,17.47,2583,-1078,870
720,2940,19644,17.57,1230,-2608,573
-788,1768,21004,17.52,-496,-1198,-1745
-404,2016,17092,17.42,-1721,161,-1247
-2292,2372,15232,17.52,-694,859,-934
80,3864,16668,17.52,-278,140,-452
-1252,2032,21976,17.52,2101,565,290
-2224,1396,23700,17.47,-145,130,449
-896,1500,17584,17.42,-2205,-561,745
236,1568,18492,17.57,-1655,-180,-384
-1644,1964,15000,17.42,1167,1624,-1329
-220,2776,15528,17.52,-699,-1089,-1698
1900,1996,23036,17.42,-2261,1089,-3324
1412,1836,16312,17.57,1872,2621,-2026
-1256,2492,15072,17.47,1452,-667,81
-2132,3300,16184,17.42,1576,344,1681
-724,3192,19516,17.52,2951,575,449
-2212,2116,20640,17.57,-2648,1403,-2677
-1300,2136,16248,17.42,-1844,1507,304
416,2200,14436,17.42,-1706,527,-1161
1128,3104,12608,17.47,697,544,-1733
420,3676,11508,17.47,1278,-1858,2172
1600,2488,17068,17.52,-1095,-1357,-643
456,2604,20588,17.52,-2366,-163,-2095
-24,1632,13396,17.52,-1001,-550,-2452
964,2440,13148,17.42,3645,-223,-879
-4,3452,17864,17.52,536,-1198,981
-3420,1460,22484,17.42,243,932,460
-3412,1688,22496,17.52,-3125,1424,-180
-1868,1908,17844,17.47,-1062,513,1291
-496,2168,15160,17.52,-1068,313,1345
476,1608,16552,17.52,1396,-1298,961
1288,1712,21256,17.47,1009,572,273
-2512,1712,22852,17.57,-412,-1510,-3592
852,1616,15068,17.42,-338,1989,-1869
1128,2440,13544,17.42,215,947,-1254
2052,3252,14884,17.52,1033,232,602
760,3100,19316,17.52,1253,777,-16
-2624,2504,22756,17.42,-2525,1456,-19
-1032,1560,18016,17.47,-1025,668,1570
-620,1460,14428,17.38,-500,995,-269
292,3048,12540,17.47,1676,-675,965
1544,3180,16956,17.57,820,-298,-864
1944,3644,20160,17.47,-1077,191,-3863
