aX,aY,aZ,temperature,gX,gY,gZ
-2788,4424,15900,16.95,-769,805,-2984
976,7420,16912,16.77,3379,1036,-22
-780,6672,17916,16.91,2665,1087,1524
-2672,5316,20544,16.81,278,1260,3448
-1568,3908,16544,16.81,-129,263,2248
-1900,4048,16344,16.86,-1232,816,633
-1032,5236,18040,16.86,2089,-1092,907
-84,6740,18440,17.05,1649,-1724,-936
-1412,6184,17784,16.72,-456,-2375,273
-76,5084,14308,16.91,-964,2138,-2487
2516,5800,11132,16.95,800,524,-87
-184,6592,15048,16.77,789,-364,1298
-736,6872,21172,16.86,5774,399,4380
-4172,5640,17964,16.81,-2085,1261,-1672
-388,4964,20052,16.81,-4911,1462,-1089
64,5280,13864,16.91,-874,1632,664
2580,5980,13652,16.86,1245,-1085,25
-1604,5920,18640,16.86,539,-1246,-1090
-3224,5920,18404,16.95,-1583,-326,-2808
4972,5824,15692,16.86,-581,584,144
2744,5480,11920,16.91,415,397,-1741
2084,6860,15204,16.81,860,-1821,1160
-2068,6372,17916,16.81,-1428,2239,-439
-1168,6840,19564,16.81,-3956,3959,-1588
2984,5856,17996,16.86,-313,92,1704
-1656,4144,13552,16.86,-453,-1174,1281
-308,4644,15080,16.77,1006,-1574,3050
388,5444,17412,16.81,-479,-334,-1749
-748,6028,20220,16.91,-3320,2513,-3379
2540,5952,17744,16.95,305,-854,-1800
-3580,4400,14324,16.77,-234,514,-966
-4684,4856,13728,16.77,159,1011,680
204,6428,19968,16.86,850,-514,1581
532,6480,17216,16.81,610,1402,1202
1996,6976,15640,16.86,-82,715,3422
264,4444,15184,16.95,349,216,3283
-1664,5940,14372,16.91,742,-2086,2640
1932,5836,15448,16.91,1327,1496,-2348
2400,6868,16548,16.91,-883,1280,-2153
868,4760,19960,16.91,-341,-101,771
-1720,4612,15096,16.81,24,-630,-1020
-3728,4880,13632,16.86,180,321,-1398
-876,7124,17840,16.86,847,858,-779
5156,9192,17108,16.86,1108,1129,428
2628,6568,16668,16.81,382,229,2287
-384,4644,15328,16.91,-362,781,-244
-192,4920,13872,16.86,2210,-1171,2128
-580,5800,17060,16.86,840,-909,-1158
2060,8168,18032,16.81,400,383,-3661
-1372,4808,19808,16.81,-733,-1329,-141
-2084,4352,14168,16.81,-1598,-514,-3519
-1808,5388,13796,16.86,244,-685,-618
-992,7460,15780,16.86,1465,184,210
-1052,6812,19432,16.91,1739,1120,1605
-5616,5168,19108,16.91,215,774,2368
-1360,4904,16800,16.91,581,-739,1930
-3992,4696,15024,16.91,-2,-744,1631
-1928,6088,14724,16.86,1806,-858,686
1320,7080,18396,16.86,622,-1370,-877
1208,6384,19632,16.81,-2475,311,-1129
1860,5488,13372,16.81,-33,1400,-3659
1940,6264,12440,16.86,-1176,-61,-2354
748,7244,14064,16.86,583,227,-465
-1572,7360,17980,16.91,2919,-712,-1280
-4448,5480,19556,16.95,-3327,2678,-2358
1776,6444,16196,16.91,-3119,2611,2427
1684,4024,13420,16.91,-1302,1267,2729
3648,5780,12936,16.91,2011,-183,2561
-1084,6420,17960,16.86,1927,-623,1809
-3472,6284,21376,16.86,-1519,1343,-3627
1244,5348,15120,16.86,525,-473,-1465
1448,5384,13536,16.91,-591,-411,-1017
-2460,5772,15456,16.81,1198,54,984
-1572,7208,19400,16.86,2465,1112,144
676,7760,16316,16.86,-1359,2685,-363
2244,6800,14856,16.91,-1716,1629,1625
-1448,4256,16340,17,-1483,337,2404
-1196,5412,12992,16.91,2102,-899,1556
-356,6596,17356,16.86,233,-2406,-1881
-1392,6372,20840,16.86,-1805,664,-4902
1048,5792,17500,16.86,2077,-1569,-189
-5020,6064,15020,16.81,141,199,-592
-3120,5712,15692,16.81,1071,1025,-851
-2524,7760,17684,16.86,3274,1149,2615
360,9612,13936,16.86,-1306,3641,1795
2324,7196,13556,16.86,-1513,1247,5465
-1508,5276,15384,16.86,-2108,1892,2428
-700,5664,14096,16.91,1244,-1664,3865
688,6728,16532,16.81,739,-344,-1928
-480,7204,19756,16.81,-2903,-630,-2190
608,5368,16996,16.95,1863,-466,-2297
-952,5560,14880,16.86,-1119,-3287,-3473
-6772,5080,16048,16.86,800,-3028,962
-252,6968,17252,16.91,1812,1006,-39
-92,8020,16852,16.91,-2855,2366,-1561
52,6348,14420,16.86,399,539,3438
-352,4212,16188,16.95,-1574,-626,28
-312,4528,13452,16.95,532,-1079,-699
-308,4944,14508,16.86,1825,-1670,-4136
748,6384,22204,16.86,-4148,-1424,-8117
-2984,5736,17560,16.95,-1422,577,-5330
928,7252,10660,16.95,-1551,1467,-5338
796,7248,14380,16.91,2732,1951,-1073
-2416,6508,17956,16.81,3785,-119,3489
-3844,5216,20720,17,-2491,-335,1738
-3620,5616,20296,16.86,-3863,80,2190
-2096,4316,16888,16.86,-2901,475,1488
164,6184,12692,17,1360,-282,-384
5636,7428,17224,16.91,2006,-2268,-1331
3296,7232,20300,16.86,-2416,-684,-834
1792,6008,16900,16.95,704,-1074,-215
-4724,4760,14152,16.91,-614,92,867
3108,7404,17324,16.95,-1045,-914,470
2080,6776,16644,16.95,-2345,2991,-8280
940,5708,15440,16.95,-1699,-1258,5242
2828,3720,16584,16.95,-2443,2305,-130
840,4468,15216,17,4883,224,-957
4688,6852,17440,16.91,3315,-6817,-484
1180,5516,25220,16.91,-2607,-2046,-4056
3260,4860,14180,16.91,-260,-160,-2421
3260,5432,12396,16.91,-1477,1078,-887
964,5788,14896,17,2866,1427,786
1364,6416,18476,16.95,3319,3249,2488
-5052,5368,24580,16.95,-519,2299,2894
2284,5768,15100,16.95,-75,-2620,793
2248,4832,11656,16.86,24,-623,2822
-1952,4824,14844,16.95,1455,922,4313
2232,6280,17376,16.95,-1741,-973,1070
2844,6920,20696,16.91,-3872,1570,-3992
6912,6096,15656,16.91,1424,-89,2213
-1272,3944,16748,16.91,335,-1070,-779
-32,5380,14952,16.95,-1740,1945,-1755
2720,8444,15696,16.86,3918,1346,937
1188,7528,16488,16.95,247,607,790
-1128,5024,19404,16.95,170,1096,2832
976,4992,12264,16.95,-2057,-81,2268
-3836,4872,16648,16.86,969,-540,2045
1772,5648,16416,16.86,1031,-101,-938
-3448,5304,21492,16.91,-8217,1036,-5215
-1372,3824,21652,16.91,-1108,2139,-1376
-832,3372,13892,17,919,321,-2368
592,4380,14144,17,-1340,652,-4873
5632,7292,14036,16.95,2925,506,-414
-2372,6752,18780,16.86,1331,3205,1819
-2860,7316,21756,16.95,-2028,3599,912
3308,6912,14660,16.95,993,-1574,5056
-1632,4400,13304,16.86,-106,519,2429
124,5056,15404,16.86,1972,124,3275
548,7712,17356,17,2242,-1816,-259
2248,7196,19556,16.91,-2506,-467,-1784
208,4596,19752,16.91,764,630,-3358
-3216,4484,17328,17,-664,-420,-1785
-2436,5172,14204,16.91,-1496,1446,-1839
1920,7884,15772,16.95,1704,1702,104
944,7940,21492,16.95,2517,1985,478
-1196,7092,20008,16.95,-673,1340,2666
3708,6416,14984,16.86,-184,383,3476
3008,5020,13072,16.95,-2474,839,2297
2156,6264,14496,16.86,1186,-1164,3195
1012,7436,17904,16.95,2257,-1971,-104
1360,8268,18792,16.95,-2303,-3065,-4080
-2424,5000,22660,17.05,-1541,-846,-2102
-3396,4516,14244,16.91,-90,556,-3013
1708,6216,12420,16.91,-1030,257,-2961
564,7580,13172,16.86,-230,-981,-217
-768,7668,18632,16.95,806,924,-3055
-2644,6996,16620,16.95,-683,1184,236
1776,6756,16564,16.95,-1884,1701,2959
288,4536,12896,17,-871,66,2745
3756,6436,13420,17,1387,-313,2275
-180,7252,22056,17,-1681,1195,-296
-3716,4920,22716,16.95,-1369,-1025,-3959
1156,4644,14280,16.95,-432,-295,-1252
-2560,4444,15568,16.86,1400,1161,-1421
936,6068,13636,17.05,2068,1151,-644
-2040,6880,18264,16.86,1934,527,202
-4668,6572,20164,17,-1085,1447,241
-1772,5704,16688,17,-3299,649,998
2276,5132,13712,16.91,-1777,-483,1003
956,5620,13508,17,2199,-718,2466
-1128,6116,15476,17,1677,-484,-1058
1348,6812,20812,17,-1084,-2821,-3770
356,6180,15648,16.95,-933,-2870,-3457
-2488,5076,16076,16.95,-2729,-1107,-2695
-2496,5488,14412,16.95,-1495,525,-2990
-3448,6844,18452,16.95,162,-2009,-211
-456,8160,17836,16.95,2237,3106,1786
-5708,5204,21504,16.95,2719,-1354,5347
-3844,3348,14388,16.95,318,446,2048
556,4508,12872,16.95,907,-1761,2157
-868,5932,14000,16.95,2140,-2480,1136
4356,7684,19224,16.86,924,-2260,164
292,7116,18528,16.86,378,-627,-1847
1524,5064,13904,16.91,-1930,870,-2258
260,4884,11900,16.91,484,1610,-263
1488,7572,16624,16.95,1700,841,616
-428,6664,22068,16.95,1302,2381,1746
-5596,5052,22812,16.86,-928,1369,665
-8,5436,15808,16.95,-3400,1444,1856
1096,4648,12860,16.91,-782,1011,1864
972,6192,14608,16.91,1482,-979,1917
1056,6536,18396,17,184,-1563,-1148
1476,7024,18456,16.91,-533,-198,-4143
2912,6000,12588,16.95,-185,283,-2528
1700,6228,12496,17.05,-976,-245,-409
-108,6592,15076,16.91,1021,176,259
-1248,7396,21916,16.91,2481,358,506
560,10396,15664,17.05,-738,3993,-114
1792,7336,11940,16.86,1275,1134,4621
-956,4972,11616,16.91,-163,-1393,4274
-1768,5016,16860,16.91,-466,-1766,3473
-140,5972,17964,17.05,2211,-51,-1042
3640,7524,20084,16.95,-2070,-1715,-5221
88,5668,18844,16.95,-610,-720,-2230
-464,5740,14236,17,511,-1523,-2274
