"time","dt","x","y","z","lat","long","alt",
,,-2701020.7336,-4256423.8953,3883202.5042,37.7936,-122.3982,306.0507,
,,-2701014.8249,-4256385.394,3883175.7735,37.7936,-122.3984,261.479,
,,-2700967.2504,-4256360.3335,3883202.5559,37.794,-122.3981,241.0279,
,,-2700995.3953,-4256357.4787,3883196.0699,37.7939,-122.3984,247.0649,
,,-2700993.9545,-4256369.4824,3883168.5719,37.7937,-122.3983,237.6127,
,,-2700975.4458,-4256382.9708,3883181.4616,37.7938,-122.398,246.6749,
,,-2700972.7935,-4256341.371,3883166.7263,37.7939,-122.3982,208.7656,
,,-2700998.3948,-4256375.6146,3883193.3146,37.7938,-122.3983,258.747,
,,-2700991.1543,-4256384.3316,3883213.4315,37.7939,-122.3982,273.8256,
,,-2700963.0687,-4256367.0016,3883178.8863,37.7939,-122.398,229.2012,
,,-2700974.8439,-4256370.8686,3883179.8889,37.7938,-122.3981,237.3813,
,,-2700981.0409,-4256380.799,3883209.3191,37.794,-122.3981,264.6664,
,,-2700996.4536,-4256378.748,3883198.19,37.7938,-122.3982,263.0034,
,,-2700972.5941,-4256365.5346,3883168.5653,37.7938,-122.3981,225.9305,
,,-2700991.5252,-4256378.537,3883188.5208,37.7938,-122.3982,254.8506,
,,-2700945.9794,-4256347.5543,3883092.5704,37.7934,-122.3979,156.0939,
,,-2700950.7156,-4256361.3757,3883078.523,37.7932,-122.3979,158.7128,
,,-2700957.3903,-4256356.2797,3883206.0941,37.7941,-122.398,236.3167,
,,-2701042.9676,-4256388.8202,3883223.881,37.7938,-122.3986,305.162,
,,-2700983.689,-4256327.2096,3883145.2457,37.7937,-122.3984,190.7662,
,,-2701058.2998,-4256407.1169,3883188.2318,37.7935,-122.3987,302.0151,
,,-2701082.3314,-4256402.4764,3883192.3682,37.7934,-122.3989,311.629,
,,-2701016.3773,-4256411.6765,3883200.396,37.7936,-122.3982,294.7616,
,,-2701048.8592,-4256406.1411,3883153.888,37.7932,-122.3986,276.3204,
,,-2701027.937,-4256394.4468,3883210.9312,37.7938,-122.3984,294.6163,
,,-2701002.0246,-4256404.1566,3883180.0615,37.7936,-122.3981,271.2059,
,,-2701016.6567,-4256396.3299,3883127.7281,37.7932,-122.3983,240.1083,
,,-2700993.2922,-4256403.6481,3883192.7285,37.7937,-122.3981,274.9319,
,,-2701010.7033,-4256409.1399,3883161.2121,37.7934,-122.3982,266.6542,
,,-2701011.0148,-4256437.9824,3883074.9314,37.7926,-122.398,233.1569,
,,-2701029.9749,-4256434.956,3883101.2956,37.7928,-122.3982,255.3216,
,,-2701016.9806,-4256410.66,3883112.0703,37.793,-122.3982,240.2115,
,,-2700940.1605,-4256360.4656,3883056.6688,37.7931,-122.3978,140.244,
,,-2700971.3153,-4256366.4478,3883150.5914,37.7936,-122.3981,214.9835,
,,-2700999.9083,-4256333.713,3883127.4033,37.7935,-122.3985,191.0385,
,,-2701039.4525,-4256358.1083,3883085.8332,37.793,-122.3988,198.5842,
,,-2700979.3315,-4256319.6025,3883072.395,37.7933,-122.3984,139.2014,
,,-2700981.6195,-4256374.216,3883026.5693,37.7927,-122.3981,148.5273,
,,-2701027.2301,-4256368.1798,3883086.3496,37.793,-122.3986,200.4455,
,,-2700926.7852,-4256333.0556,3883045.0181,37.7932,-122.3978,109.1524,
,,-2700974.4106,-4256375.4929,3883094.3419,37.7932,-122.398,187.8586,
,,-2700943.1094,-4256342.642,3883143.4798,37.7938,-122.3979,182.7994,
,,-2700951.2797,-4256362.9969,3883130.1953,37.7936,-122.3979,191.6989,
