14:31:44.142 ->   -272,   3852,  14788, 19.17,   1004,    123,   -996
14:31:44.223 ->  -1492,   3548,  17208, 19.21,   1139,    479,  -1098
14:31:44.331 ->  -1048,   3204,  21192, 19.21,   -987,      5,   -448
14:31:44.446 ->   -484,   3212,  16088, 19.21,   -700,   1135,  -2776
14:31:44.528 ->   1520,   4008,  14512, 19.21,  -1697,    633,   -635
14:31:44.662 ->   2288,   4424,  14384, 19.26,   -960,    209,   1047
14:31:44.756 ->   1256,   5028,  17316, 19.31,   2551,    423,    255
14:31:44.850 ->   3052,   4424,  16528, 19.21,    795,   2896,   1420
14:31:44.982 ->    932,   3652,  19580, 19.35,  -1222,   1713,   2551
14:31:45.065 ->   1164,   3240,  15268, 19.26,  -1568,   1227,    531
14:31:45.165 ->    548,   3644,  12512, 19.21,    704,   -245,   2470
14:31:45.248 ->   3236,   3904,  18360, 19.26,   2908,   -806,    281
14:31:45.364 ->   2932,   4396,  18304, 19.31,   1132,  -1217,  -3145
14:31:45.451 ->   1880,   4612,  17892, 19.12,  -1463,    451,   -698
14:31:45.586 ->   1060,   3716,  17212, 19.26,  -1632,    105,  -1026
14:31:45.666 ->  -1556,   3232,  13960, 19.17,    748,   -215,   1560
14:31:45.806 ->    776,   5092,  17092, 19.31,   1783,    507,    455
14:31:45.903 ->   1120,   5516,  17788, 19.31,   1464,   2808,   1842
14:31:45.998 ->   -260,   4652,  19564, 19.17,  -1313,   -347,   2686
14:31:46.097 ->   -108,   2568,  15164, 19.26,  -2634,    371,    546
14:31:46.187 ->    144,   2840,  16124, 19.21,    740,   -700,   1401
14:31:46.300 ->   -148,   3744,  15976, 19.26,   1619,  -1020,   -394
14:31:46.387 ->    204,   4820,  20720, 19.31,   1446,  -1235,  -2098
14:31:46.501 ->    -84,   4628,  18672, 19.31,   -639,    893,  -1712
14:31:46.602 ->   1196,   3960,  17976, 19.35,  -1435,    645,  -1758
14:31:46.720 ->  -3132,   2876,  17112, 19.35,    144,   -172,    128
14:31:46.808 ->   -632,   4160,  15076, 19.31,   2055,   -657,    870
14:31:46.904 ->   -240,   3752,  17916, 19.26,   2631,   -183,    -75
14:31:47.038 ->   1516,   3348,  22460, 19.21,   -788,   -767,   -594
14:31:47.141 ->   2992,   4108,  18884, 19.31,   -613,    -93,  -1292
14:31:47.234 ->  -1288,   2648,  16300, 19.26,    256,  -1294,  -1031
14:31:47.325 ->   -360,   3948,  15120, 19.31,    989,  -1733,  -2287
14:31:47.411 ->   1480,   5352,  18592, 19.31,    614,   -471,  -3876
14:31:47.520 ->    544,   4500,  19092, 19.26,  -1022,    788,  -3165
14:31:47.652 ->   1040,   3264,  17288, 19.21,  -2394,    503,  -3833
14:31:47.740 ->  -2124,   2996,  13876, 19.31,    813,   -967,  -2732
14:31:47.854 ->   -584,   4720,  17156, 19.26,   1960,  -1230,  -1886
14:31:47.934 ->  -2320,   4204,  18912, 19.31,   1909,   -327,   -866
14:31:48.034 ->  -2232,   3388,  21024, 19.35,     73,   -965,    162
14:31:48.135 ->    796,   2920,  15788, 19.31,  -2437,   -507,  -1642
14:31:48.234 ->   -260,   3332,  15636, 19.31,   1358,  -1903,   -568
14:31:48.365 ->   -652,   3732,  15608, 19.35,   1917,  -2072,  -1048
14:31:48.453 ->   2492,   5756,  18384, 19.35,   2160,   -576,  -1518
14:31:48.572 ->   1172,   4788,  18840, 19.26,  -1384,    649,  -4033
14:31:48.651 ->   1640,   3564,  16176, 19.31,  -1600,   -456,  -2416
14:31:48.784 ->  -1848,   2916,  14996, 19.35,    206,  -1664,  -1408
14:31:48.873 ->   -908,   4268,  16780, 19.26,    699,    -61,  -1887
14:31:48.963 ->  -1808,   4216,  20828, 19.31,   1563,    310,    383
14:31:49.084 ->  -3804,   2600,  20796, 19.40,  -1908,   -661,   -285
14:31:49.166 ->   1344,   2680,  16792, 19.26,  -1116,   -816,   -127
14:31:49.271 ->    -36,   2680,  15988, 19.40,   -710,  -1560,  -1166
14:31:49.384 ->    308,   4212,  16080, 19.21,   1382,  -1065,  -1731
14:31:49.485 ->   -784,   4004,  17064, 19.35,   2861,  -1514,  -3018
14:31:49.587 ->  -3752,   1480,  22672, 19.21,  -1496,    318,  -5190
14:31:49.701 ->    356,   2892,  16764, 19.31,   -968,  -1069,  -2944
14:31:49.798 ->    732,   3756,  13572, 19.31,  -1494,   -665,  -3658
14:31:49.901 ->   -168,   4200,  13660, 19.26,   -197,    283,  -2297
14:31:49.984 ->    132,   4436,  19388, 19.35,   1307,   1321,  -1701
14:31:50.097 ->    -96,   5112,  19840, 19.31,  -1168,    940,   -941
14:31:50.217 ->  -1116,   2892,  17220, 19.21,  -1612,    854,    567
14:31:50.318 ->   -972,   2524,  15676, 19.35,  -1111,    507,  -1309
14:31:50.413 ->  -1336,   2696,  15940, 19.26,   1421,   -589,   -831
14:31:50.507 ->   -856,   3308,  17924, 19.31,   2214,  -1124,  -1781
14:31:50.601 ->   4372,   4188,  17376, 19.31,    237,    266,  -6204
14:31:50.734 ->   1404,   3804,  19540, 19.45,  -1426,   -199,  -4150
14:31:50.815 ->    788,   3168,  16204, 19.35,  -1977,  -1132,  -3492
14:31:50.952 ->  -2132,   3068,  15804, 19.35,   1073,  -1035,  -1891
14:31:51.046 ->   -232,   5060,  16696, 19.40,    691,    -44,  -2210
14:31:51.134 ->   -124,   4648,  18736, 19.35,   2308,    532,   -615
14:31:51.235 ->  -1284,   4088,  21100, 19.31,  -1359,   -750,   1864
14:31:51.352 ->   -656,   2776,  15664, 19.31,  -1089,   -201,    460
14:31:51.461 ->  -1080,   2300,  17104, 19.31,    662,  -1723,   -505
14:31:51.569 ->    312,   3748,  15040, 19.26,   2870,   -153,   -564
14:31:51.663 ->   -804,   4000,  19816, 19.26,   1992,  -2504,  -1943
14:31:51.757 ->  -2144,   3004,  20152, 19.21,  -1165,  -1248,  -3896
14:31:51.841 ->    548,   3080,  15332, 19.40,  -1348,  -1327,  -2393
14:31:51.988 ->   -464,   3140,  16640, 19.35,    399,    996,  -3185
14:31:52.080 ->     -4,   4204,  16128, 19.26,   1501,   -262,  -1407
14:31:52.169 ->   -576,   3316,  20708, 19.31,   1420,    401,  -1467
14:31:52.275 ->  -2660,   2488,  22664, 19.35,  -2130,    148,   -780
14:31:52.373 ->  -1668,   2568,  17124, 19.35,  -1324,   -374,   -491
14:31:52.472 ->  -2064,   2164,  17692, 19.21,   -772,    111,  -1038
14:31:52.570 ->     40,   3744,  14964, 19.40,   1101,    640,   -826
14:31:52.703 ->    652,   3556,  20672, 19.26,   2051,   -735,  -3216
14:31:52.788 ->  -2096,   2572,  21264, 19.31,  -2153,  -1078,  -3414
14:31:52.879 ->  -1004,   2228,  17344, 19.31,   -860,    -63,  -1979
14:31:52.987 ->  -1148,   2640,  16852, 19.31,    494,   -213,  -2820
14:31:53.071 ->    940,   3876,  17148, 19.21,   1361,   -303,  -1637
14:31:53.217 ->   -624,   3468,  19264, 19.26,   1727,   -168,    -49
14:31:53.321 ->  -2476,   4600,  20412, 19.26,   -687,   1689,    661
14:31:53.405 ->   1404,   4308,  14212, 19.31,  -1590,    613,   -385
14:31:53.509 ->   2052,   4396,  14228, 19.21,  -1478,   1444,    941
14:31:53.625 ->   2856,   4116,  12832, 19.26,    809,   -849,   1965
14:31:53.706 ->   2448,   3724,  18232, 19.26,    991,  -1722,   -829
14:31:53.805 ->    300,   3884,  22668, 19.31,   -848,  -2048,  -1782
14:31:53.926 ->  -2844,   1720,  20156, 19.21,  -1598,   -927,   -212
14:31:54.012 ->   -452,   3264,  13972, 19.26,  -1271,    326,   -152
14:31:54.134 ->   1076,   4624,  14080, 19.21,    329,   2143,    265
14:31:54.225 ->  -1356,   5016,  16156, 19.31,   2859,   1416,   1972
14:31:54.349 ->   2424,   5556,  18216, 19.26,   -673,   1606,   3748
14:31:54.436 ->   -308,   3100,  16312, 19.21,   -671,   2056,   3507
14:31:54.524 ->    124,   2584,  16480, 19.21,  -2087,   1508,   1769
14:31:54.639 ->    932,   3524,  13700, 19.07,    464,   -904,   3142
14:31:54.737 ->    796,   3900,  15296, 19.31,    897,   -920,   1629
14:31:54.871 ->   2748,   5052,  18932, 19.26,   -379,  -1905,    675
14:31:54.947 ->    840,   3200,  20464, 19.26,   -519,  -1436,     32
14:31:55.038 ->   -152,   2288,  15108, 19.31,  -1044,   -742,    805
14:31:55.142 ->  -3252,   2932,  15692, 19.21,    190,    202,   -497
14:31:55.275 ->  -2128,   4000,  18568, 19.26,   1305,   -979,   -237
14:31:55.372 ->  -2036,   3356,  21048, 19.26,   1968,   1582,    477
14:31:55.489 ->  -2964,   2504,  22660, 19.17,  -1709,   1893,   1302
14:31:55.572 ->  -3632,   1972,  19232, 19.31,  -1789,    668,    391
14:31:55.642 ->   -524,   2848,  15288, 19.21,  -1068,   -437,  -1172
14:31:55.756 ->   -576,   3304,  15780, 19.26,    176,  -1308,     23
14:31:55.887 ->    436,   3040,  20800, 19.31,   1664,  -1319,   -552
14:31:55.975 ->  -1516,   2392,  21980, 19.31,  -2022,     49,  -3692
14:31:56.077 ->    728,   2972,  17580, 19.21,   -498,   1235,  -2129
14:31:56.195 ->   2300,   3688,  15328, 19.26,  -2798,    902,  -1523
