timestamp,aX,aY,aZ,temperature,gX,gY,gZ
15:23:17.616, -196,1408,18520,25.99,449,-2155,-2283
15:23:17.726, -744,1832,21568,25.99,-588,-446,-602
15:23:17.798,-1912,1060,18476,25.94,-1498,863,-2683
15:23:17.903,-2000,952,15092,26.04,1124,1179,-3960
15:23:18.013, -556,684,11996,25.94,604,-3497,-993
15:23:18.127, -248,1236,14668,25.99,506,-1337,538
15:23:18.237,-1920,2308,19880,26.04,-210,2271,1309
15:23:18.313,-2340,3200,18516,25.94,503,5200,-193
15:23:18.427,-3148,2584,16832,25.89,-226,678,1644
15:23:18.541, -288,1096,13628,25.99,-747,-1038,3447
15:23:18.641,  -20,876,14596,25.94,564,371,656
15:23:18.751, -732,1716,18276,25.89,-203,-1243,-1340
15:23:18.857,-1572,1892,21328,25.99,-1341,43,297
15:23:18.933,-2288,1040,18540,25.94,-2165,1015,-289
15:23:19.045,-1796,332,14916,25.8,791,1591,-3287
15:23:19.155, -488,84,13200,25.89,1309,-3094,-1874
15:23:19.269, -568,312,15012,25.85,1804,-3214,-45
15:23:19.341,-1656,1544,18012,25.99,-553,-1958,-59
15:23:19.455,-1492,2104,19384,25.85,983,3174,-2248
15:23:19.570,-2140,3788,17012,25.85,60,1325,-1592
15:23:19.684, -584,2432,14828,25.8,-1434,1145,662
15:23:19.755,  984,976,13820,25.75,-2587,868,-88
15:23:19.865,  368,1152,16656,25.85,-769,23,-1176
15:23:19.971, -764,320,20824,25.89,-1428,-1011,-788
15:23:20.082,-2388,148,19220,25.75,-908,2351,-1740
15:23:20.191,-3596,-36,17380,25.89,-35,1807,-762
15:23:20.301,-1872,332,13208,25.85,1073,-1655,-2028
15:23:20.372, -756,152,13988,25.71,1816,-2896,-2149
15:23:20.482, -660,704,17928,25.8,217,-1823,719
15:23:20.586,  500,936,20352,25.75,66,1637,2075
15:23:20.700,-1924,2572,17924,25.71,-1755,1164,2769
15:23:20.815,-1540,1328,14932,25.75,-1896,168,2713
15:23:20.887,  380,-356,13628,25.75,-2253,-1923,1736
15:23:20.996,  576,-640,15292,25.8,-76,-1883,694
15:23:21.101,  580,-20,19416,25.66,302,-714,-351
15:23:21.215,-1396,-384,20916,25.71,-340,2873,672
15:23:21.317,-1268,-1324,16544,25.71,-1414,216,-2701
15:23:21.427,-1112,-832,14152,25.75,2335,-1166,-2940
15:23:21.537,  964,-496,13572,25.75,3241,-3914,-1817
15:23:21.613,  408,1072,17188,25.71,20,-1916,-1335
15:23:21.718, 1148,1692,19628,25.71,-2072,368,-1598
15:23:21.828,-1736,2396,18960,25.75,1927,5275,-252
15:23:21.942,-1484,1520,15548,25.66,-1143,-1199,-814
15:23:22.054, 1268,328,13620,25.71,-1408,-2220,-177
15:23:22.125, 2064,732,14952,25.75,-1106,-491,-1714
15:23:22.231,  532,864,19596,25.66,-608,926,-2731
15:23:22.345,  560,-464,21052,25.71,522,2393,-3206
15:23:22.459, -200,-488,15768,25.75,-595,511,-3172
15:23:22.565,-1144,0,15472,25.66,4133,891,-2724
15:23:22.641, 1004,1056,14300,25.71,4579,-845,-2293
15:23:22.756, 1936,1060,15860,25.66,-369,-3360,-3059
15:23:22.868,   80,3340,19700,25.66,-2760,-3021,196
15:23:22.977,   28,1836,18808,25.61,-961,-501,1652
15:23:23.050,  192,2004,18232,25.57,205,2440,2964
15:23:23.164, -324,1220,14372,25.71,341,1975,2378
15:23:23.274, 1048,2008,14252,25.57,419,-1580,3145
15:23:23.384, 3356,1000,19352,25.66,-1440,-2331,1153
15:23:23.494, 2488,-1980,21428,25.61,-1379,-484,-2753
15:23:23.570,  248,-1944,17100,25.61,-1542,1389,-4842
15:23:23.684, -184,1196,13448,25.57,-1989,1504,-5725
15:23:23.793,  404,1524,13140,25.42,242,474,-2549
15:23:23.903, 1908,12,15720,25.52,-13,-1549,-1554
15:23:23.979, 1556,1452,19900,25.57,2881,1404,341
15:23:24.084,-1800,2032,20680,25.52,2898,5212,303
15:23:24.194,-1544,2472,16320,25.52,-50,252,1970
15:23:24.308,  256,1492,13188,25.57,-2747,-761,2060
15:23:24.422, 1060,1096,14236,25.52,-2544,-65,683
15:23:24.494,  348,852,18996,25.52,-1095,20,-969
15:23:24.600, -252,-1652,21008,25.52,76,-109,-2780
15:23:24.704, -976,-1928,17716,25.47,-78,-1056,-4545
15:23:24.818, -640,700,14844,25.52,2461,224,-3996
15:23:24.928, 1752,2008,12708,25.47,176,733,-1133
15:23:25.042, 1872,712,14480,25.52,-806,-386,-98
15:23:25.109, -244,2592,19536,25.38,1429,-26,635
15:23:25.219,-1364,3072,21636,25.42,2618,1753,1553
15:23:25.328,-1192,1416,18544,25.42,440,181,3538
15:23:25.433, -184,480,13672,25.52,-2338,-771,2716
15:23:25.547,  984,1132,13444,25.47,-1511,-2345,724
15:23:25.651, 1416,1096,17196,25.52,121,-1346,-2102
15:23:25.760, 1496,1556,21172,25.47,-320,1624,-3943
15:23:25.865, -392,-656,18064,25.57,-179,2113,-4303
15:23:25.941,-1292,968,16296,25.38,252,-245,-4198
15:23:26.051, 1980,960,12592,25.42,1224,-972,-2142
15:23:26.160, 3060,2520,13796,25.52,-285,-1743,-441
15:23:26.266, 1232,4060,18532,25.38,1970,844,411
15:23:26.371, -572,4856,21688,25.42,3862,2104,3407
15:23:26.480, -956,4216,17852,25.38,519,2608,7100
15:23:26.556,-1048,1676,14480,25.42,-3099,1173,7121
15:23:26.670,  648,1040,13048,25.33,-2295,-257,4601
15:23:26.785,  300,956,18080,25.38,-542,-551,756
15:23:26.890, -664,-248,20552,25.42,-164,265,-1998
15:23:26.966,-1992,-1656,18252,25.47,-119,1909,-3562
15:23:27.075,-1868,532,16092,25.33,-326,140,-3555
15:23:27.189, 1292,2024,12692,25.28,-187,-607,-3246
15:23:27.303, 2164,2628,16244,25.33,-1628,1339,-2706
15:23:27.379, -796,2328,18556,25.33,591,1518,297
15:23:27.487,-2164,2480,18924,25.33,1516,-908,3661
15:23:27.597,-2596,2336,17196,25.28,-560,3570,4961
15:23:27.708,-1916,672,14780,25.38,-2339,387,4400
15:23:27.822,  -72,628,14076,25.33,-1490,-2314,2845
15:23:27.898, 1192,712,16080,25.33,-556,-1463,1202
15:23:28.009, -368,-416,19376,25.33,-360,586,-394
15:23:28.114,-3172,-1716,19304,25.38,-1123,3591,-1664
15:23:28.228,-3160,-668,17376,25.33,91,1045,-3161
15:23:28.304,  204,972,13060,25.28,1678,-446,-2945
15:23:28.412, 1312,844,13876,25.42,-528,-2577,-1971
